Episode 897, Reward: 150
Episode 898, Reward: 200
Episode 899, Reward: 250
Episode  900 | eps=0.535 | mean=215.0 | best=500.0 | steps=232285
Episode 900, Reward: 300
Episode 901, Reward: 350
Episode 902, Reward: 400
Episode 903, Reward: 250
Episode 904, Reward: 150
Episode 905, Reward: 350
Episode 906, Reward: 550
Episode 907, Reward: 350
Episode 908, Reward: 350
Episode 909, Reward: 650
Episode 910, Reward: 550
Episode 911, Reward: 500
Episode 912, Reward: 400
Episode 913, Reward: 150
Episode 914, Reward: 200
Episode 915, Reward: 150
Episode 916, Reward: 100
Episode 917, Reward: 150
Episode 918, Reward: 200
Episode 919, Reward: 350
Episode  920 | eps=0.525 | mean=322.5 | best=650.0 | steps=237698
Episode 920, Reward: 550
Episode 921, Reward: 250
Episode 922, Reward: 300
Episode 923, Reward: 450
Episode 924, Reward: 500
Episode 925, Reward: 200
Episode 926, Reward: 250
Episode 927, Reward: 500
Episode 928, Reward: 450
Episode 929, Reward: 300
Episode 930, Reward: 200
Episode 931, Reward: 300
Episode 932, Reward: 750
Episode 933, Reward: 250
Episode 934, Reward: 300
Episode 935, Reward: 250
Episode 936, Reward: 250
Episode 937, Reward: 300
Episode 938, Reward: 250
Episode 939, Reward: 250
Episode  940 | eps=0.514 | mean=342.5 | best=750.0 | steps=243009
Episode 940, Reward: 200
Episode 941, Reward: 200
Episode 942, Reward: 100
