Episode 781, Reward: 500
Episode 782, Reward: 400
Episode 783, Reward: 500
Episode 784, Reward: 300
Episode 785, Reward: 250
Episode 786, Reward: 700
Episode 787, Reward: 300
Episode 788, Reward: 250
Episode 789, Reward: 150
Episode 790, Reward: 100
Episode 791, Reward: 500
Episode 792, Reward: 550
Episode 793, Reward: 450
Episode 794, Reward: 200
Episode 795, Reward: 150
Episode 796, Reward: 550
Episode 797, Reward: 100
Episode 798, Reward: 500
Episode 799, Reward: 200
Episode  800 | eps=0.100 | mean=352.5 | best=700.0 | steps=208481
Episode 800, Reward: 250
Episode 801, Reward: 150
Episode 802, Reward: 300
Episode 803, Reward: 300
Episode 804, Reward: 400
Episode 805, Reward: 250
Episode 806, Reward: 250
Episode 807, Reward: 350
Episode 808, Reward: 150
Episode 809, Reward: 750
Episode 810, Reward: 300
Episode 811, Reward: 200
Episode 812, Reward: 350
Episode 813, Reward: 250
Episode 814, Reward: 600
Episode 815, Reward: 550
Episode 816, Reward: 500
Episode 817, Reward: 150
Episode 818, Reward: 250
Episode 819, Reward: 200
Episode  820 | eps=0.100 | mean=325.0 | best=750.0 | steps=213394
Episode 820, Reward: 750
Episode 821, Reward: 500
Episode 822, Reward: 350
Episode 823, Reward: 200
Episode 824, Reward: 250
Episode 825, Reward: 450
Episode 826, Reward: 250
Episode 827, Reward: 300
Episode 828, Reward: 300
Episode 829, Reward: 300
Episode 830, Reward: 50
Episode 831, Reward: 350
Episode 832, Reward: 200
Episode 833, Reward: 500
Episode 834, Reward: 350
Episode 835, Reward: 600
Episode 836, Reward: 200
Episode 837, Reward: 400
Episode 838, Reward: 400
Episode 839, Reward: 300
Episode  840 | eps=0.100 | mean=350.0 | best=750.0 | steps=218619
Episode 840, Reward: 600
Episode 841, Reward: 300
Episode 842, Reward: 350
Episode 843, Reward: 100
Episode 844, Reward: 350
Episode 845, Reward: 200
Episode 846, Reward: 200
Episode 847, Reward: 250
Episode 848, Reward: 300
Episode 849, Reward: 200
Episode 850, Reward: 550
Episode 851, Reward: 150
Episode 852, Reward: 400
Episode 853, Reward: 400
Episode 854, Reward: 650
Episode 855, Reward: 400
Episode 856, Reward: 400
Episode 857, Reward: 450
Episode 858, Reward: 350
Episode 859, Reward: 300
Episode  860 | eps=0.100 | mean=345.0 | best=650.0 | steps=223614
Episode 860, Reward: 400
Episode 861, Reward: 550
Episode 862, Reward: 350
Episode 863, Reward: 400
Episode 864, Reward: 250
Episode 865, Reward: 500
Episode 866, Reward: 200
Episode 867, Reward: 500
Episode 868, Reward: 350
Episode 869, Reward: 100
Episode 870, Reward: 150
Episode 871, Reward: 150
Episode 872, Reward: 300
Episode 873, Reward: 650
Episode 874, Reward: 150
Episode 875, Reward: 300
Episode 876, Reward: 250
Episode 877, Reward: 550
Episode 878, Reward: 250
Episode 879, Reward: 400
Episode  880 | eps=0.100 | mean=337.5 | best=650.0 | steps=228681
Episode 880, Reward: 300
Episode 881, Reward: 350
Episode 882, Reward: 250
Episode 883, Reward: 250
Episode 884, Reward: 250
Episode 885, Reward: 450
Episode 886, Reward: 650
Episode 887, Reward: 450
Episode 888, Reward: 650
Episode 889, Reward: 500
Episode 890, Reward: 500
Episode 891, Reward: 0
Episode 892, Reward: 300
Episode 893, Reward: 450
Episode 894, Reward: 450
Episode 895, Reward: 400
Episode 896, Reward: 400
Episode 897, Reward: 550
Episode 898, Reward: 300
Episode 899, Reward: 500
Episode  900 | eps=0.100 | mean=397.5 | best=650.0 | steps=234256
Episode 900, Reward: 300
Episode 901, Reward: 450
Episode 902, Reward: 550
Episode 903, Reward: 500
Episode 904, Reward: 550
Episode 905, Reward: 250
Episode 906, Reward: 650
Episode 907, Reward: 350
Episode 908, Reward: 200
Episode 909, Reward: 300
Episode 910, Reward: 400
Episode 911, Reward: 350
Episode 912, Reward: 100
Episode 913, Reward: 400
Episode 914, Reward: 400
Episode 915, Reward: 350
Episode 916, Reward: 500
Episode 917, Reward: 450
Episode 918, Reward: 250
Episode 919, Reward: 350
Episode  920 | eps=0.100 | mean=382.5 | best=650.0 | steps=239699
Episode 920, Reward: 500
Episode 921, Reward: 600
Episode 922, Reward: 300
Episode 923, Reward: 300
Episode 924, Reward: 600
Episode 925, Reward: 600
Episode 926, Reward: 250
Episode 927, Reward: 650
Episode 928, Reward: 250
Episode 929, Reward: 400
Episode 930, Reward: 800
Episode 931, Reward: 250
Episode 932, Reward: 350
Episode 933, Reward: 300
Episode 934, Reward: 350
Episode 935, Reward: 400
Episode 936, Reward: 200
Episode 937, Reward: 300
Episode 938, Reward: 300
Episode 939, Reward: 250
Episode  940 | eps=0.100 | mean=397.5 | best=800.0 | steps=245008
Episode 940, Reward: 150
Episode 941, Reward: 300
Episode 942, Reward: 250
